média C,std C,t,média 4UI,std 4UI,t,média 2UI,std 2UI,t,média 6UI,std 6UI,t
114.25,4.924428901,8h22,297,128.7814686,8h26,556,37.74475681,8h30,425,93.7869927,8h35
108.25,7.274384281,8h53,191,102.4141917,8h56,473.5,70.43436661,9h02,318.5,101.8708332,9h06
108,10.03327796,9h23,121.5,69.76388751,9h28,312.75,86.59243616,9h31,181.25,105.0186491,9h36
120,14.71960144,9h52,73.75,19.29378138,9h57,231.75,95.70571212,10h02,103.75,59.41029653,10h06
119.5,7.85281266,10h23,65.66666667,11.93035345,10h27,155.25,82.58884105,10h34,74.5,38.37968212,10h38
119.25,6.898067362,10h53,51.66666667,10.59874206,10h57,120.3333333,43.66157731,11h02,70,21.07130751,11h04
118,6.831300511,11h25,43,6.244997998,11h27,89.33333333,33.97548136,11h32,49.66666667,20.10804151,11h35
114.5,11.35781669,11h52,41,0,11h54,94,43.48562981,12h01,59,0,12h02
115.5,5.066228051,13h57,74.5,17.52141547,14h12,177.75,97.64348417,14h03,78.5,8.736894948,14h19
117.75,3.774917218,14h53,127.5,28.99137803,14h12,252,195.1947745,15h02,94,4.242640687,14h12
113,7.615773106,15h53,104,21.21320344,16h08,305.3333333,229.9942028,16h02,92,0,16h08
116.75,4.991659711,16h57,,,,322,229.1898776,17h00,,,
