media C,std C,t,media 3ui,std 3ui,t,media 2ui,std 2ui,t,media 4ui,std 4ui,t
103.75,1.707825128,8h23,319.75,160.1964939,8h31,556.75,35.92932878,8h38,407.5,83.25663137,8h42
116.5,5.567764363,8h54,120.5,70.49586276,9h05,379.75,124.3821397,9h09,227.5,145.1906792,9h13
115.25,15.54295124,9h28,80,23.0795725,9h32,275.25,167.3964854,9h43,67.75,17.7270979,9h51
114,10.09950494,9h59,66.33333333,16.86218649,10h04,294.75,178.5802807,10h10,77.75,14.103782,10h14
116,10,10h24,95.75,32.93807321,10h30,346.75,174.083074,10h38,70.25,7.410578025,10h43
111.75,11.05667219,10h54,106.3333333,10.96965511,11h03,406.75,140.8057172,11h10,86.75,13.1497782,11h15
107.75,6.075908711,11h24,149.3333333,7.767453465,11h32,439.25,141.8952078,11h38,117.5,26.71454036,11h46
106.75,11.55782563,11h57,174.3333333,38.55299383,12h03,464,93.25234581,12h07,169.25,40.01145669,12h11
111.25,8.539125638,12h24,209,63.22183167,12h32,463,105.6061867,12h38,201.25,62.99933862,12h43
115.25,6.5,13h26,220.6666667,82.71235297,13h33,465,36.61511528,13h38,202.5,64.51098098,13h47
106.75,8.732124598,14h28,198,70.5478561,14h33,461.75,41.56420736,14h42,228.25,66.63520091,14h48
105.75,4.031128874,15h25,205.3333333,66.68083183,15h34,455,60.43729533,15h42,249.75,86.04407785,15h47
104.25,5.678908346,16h24,229.3333333,82.68212221,16h31,490,41.25530269,16h37,268.75,93.99778366,16h45
106.3333333,7.023769169,17h28,229,98.2903861,17h38,486.25,51.3054578,17h48,301.25,113.3795249,17h57
101.25,3.5,18h33,226,76.26925986,18h42,464.5,71.59841711,18h51,293.5,110.4611546,18h55
