R1c,t,R2c,t,R3c,t,R4c,t,R1-4UI,t,R2-4UI,t,R3-4UI,t,R4-4UI,t,R1 - 6UI,t,R2 - 6UI,t,R3 - 6UI,t,R4 - 6UI,t,R2- 2UI,t,R3- 2UI,t,R4- 2UI,t
101,8h16,107,8h17,98,8h18,101,8h19,529,8h19,525,8h20,416,8h21,569,8h21,453,8h22,500,8h23,448,8h24,427,8h25,517,8h26,475,8h27,524,8h28
105,8h47,109,8h48,118,8h48,119,8h49,650,8h50,523,8h51,426,8h52,519,8h52,409,8h53,497,8h54,441,8h55,487,8h56,566,8h57,459,8h58,527,8h59
114,9h17,100,9h18,112,9h18,117,9h19,650,9h20,426,9h21,315,9h22,419,9h22,260,9h23,464,9h24,430,9h25,226,9h26,445,9h27,154,9h28,580,9h29
100,9h47,118,9h48,120,9h48,109,9h49,206,10h02,345,9h51,209,9h52,313,9h52,238,9h53,286,9h54,375,9h55,86,9h56,325,9h57,71,9h58,238,9h59
96,10h17,107,10h18,107,10h19,120,10h19,120,10h32,195,10h21,135,10h22,113,10h23,83,10h24,300,10h25,271,10h26,51,10h27,206,10h28,61,10h29,127,10h30
98,10h47,107,10h47,106,10h49,117,10h49,92,11h02,90,10h51,79,10h52,100,10h54,77,10h54,217,10h55,195,10h56,52,10h57,148,10h58,45,10h59,81,10h59
89,11h17,106,11h18,109,11h19,111,11h20,57,11h32,74,11h22,79,11h22,65,11h23,65,11h24,76,11h26,96,11h26,50,11h27,149,11h27,94,11h28,59,11h29
93,11h47,98,11h48,119,11h48,105,11h49,70,12h02,82,11h51,69,11h52,65,11h52,53,11h53,54,11h54,62,11h55,148,11h56,114,11h57,32,11h58,64,11h59
92,13h47,103,13h48,106,13h49,112,13h50,38,14h10,45,13h51,60,13h52,50,13h52,23,13h54,33,13h54,59,13h55,30,13h56,69,13h57,37,13h58,27,13h59
101,14h47,118,14h48,106,14h49,109,14h50,122,15h02,71,14h51,122,14h52,53,14h52,,,,,52,14h55,,,91,14h57,101,14h58,36,14h59
97,15h47,97,15h48,104,15h49,105,15h50,36,16h02,127,15h51,195,15h52,41,15h52,,,,,61,15h55,,,106,15h57,59,15h58,35,15h59
106,16h47,107,16h48,107,16h49,116,16h50,34,17h02,284,16h51,250,16h52,41,16h52,,,,,62,16h55,,,225,16h57,116,16h58,54,16h59
105,18h49,101,18h51,108,18h53,108,18h54,74,18h04,371,17h53,280,17h54,46,17h56,,,,,91,17h57,,,340,17h59,166,18h00,84,18h02
97,19h47,96,19h48,106,19h50,109,19h51,49,19h07,463,18h55,308,18h56,48,18h58,,,,,163,18h59,,,343,19h03,190,19h04,124,19h04
97,20h51,99,20h52,100,20h53,107,20h54,45,20h07,480,19h55,284,19h56,60,19h59,,,,,297,20h00,,,405,20h02,243,20h03,215,20h06
,,,,,,,,75,21h04,405,20h55,284,20h56,43,20h57,,,,,337,20h58,,,430,21h00,225,21h01,235,21h03
