R1C,T,R2C,T,R3C,T,R4C,T,R1-4UI,t,R2-4UI,t,R3-4UI,t,R4-4UI,t,R1-6UI,t,R2-6UI,t,R3-6UI,t,R4-6UI,t,R2 - 2UI,t,R3 - 2UI,t,R4 - 2UI,t
106,7h35,107,7h36,107,7h36,108,7h37,548,7h38,552,7h39,456,7h40,470,7h41,497,7h42,549,7h43,490,7h45,466,7h46,541,7h78,496,7h49,552,7h50
103,8h05,120,8h06,121,8h07,114,8h07,484,8h10,487,8h11,650,8h11,477,8h12,460,8h13,470,8h13,650,8h14,502,8h15,593,8h18,650,8h19,560,8h20
119,8h35,118,8h35,91,8h37,117,8h38,366,8h38,456,8h41,450,8h42,352,8h43,228,8h44,396,8h45,454,8h46,280,8h46,482,8h48,304,8h48,477,8h49
110,9h05,109,9h07,80,9h10,121,9h12,329,9h13,413,9h14,284,9h15,292,9h16,167,9h17,351,9h17,415,9h18,206,9h19,480,9h20,218,9h21,442,9h22
120,9h36,139,9h37,120,9h38,112,9h37,307,9h38,468,9h41,206,9h41,266,9h42,130,9h43,415,9h44,465,9h45,113,9h46,394,9h48,168,9h49,527,9h50
110,10h05,117,10h06,107,10h08,125,10h08,222,10h10,359,10h11,84,10h12,181,10h13,112,10h14,330,10h15,361,10h16,76,10h17,367,10h18,154,10h18,446,10h19
96,10h36,101,10h36,109,10h36,121,10h38,145,10h39,299,10h39,113,10h40,164,10h41,105,10h42,257,10h43,348,10h44,109,10h46,381,10h47,246,10h48,401,10h48
110,11h05,129,11h06,102,11h08,94,11h10,125,11h11,262,11h12,104,11h13,141,11h14,96,11h15,233,11h15,327,11h16,83,11h17,315,11h18,140,11h19,435,11h20
117,13h05,123,13h06,106,13h07,126,13h08,156,13h09,352,13h11,93,13h12,194,13h13,92,13h14,204,13h15,304,13h15,69,13h16,217,13h17,147,13h18,388,13h20
113,14h05,124,14h05,122,14h06,123,14h06,244,14h09,514,14h09,138,14h10,290,14h10,96,14h11,295,14h12,259,14h12,57,14h13,198,14h14,140,14h15,349,14h16
112,15h05,112,15h06,100,15h06,118,15h07,448,15h08,650,15h09,267,15h10,427,15h11,148,15h12,460,15h13,255,15h15,94,15h16,260,15h18,193,15h19,393,15h20
125,16h05,120,16h06,113,16h06,118,16h07,490,16h08,557,16h09,408,16h10,496,16h11,293,16h12,528,16h13,348,16h15,64,16h16,351,16h18,310,16h19,430,16h20
106,17h05,114,17h06,105,17h06,126,17h07,520,17h08,650,17h09,414,17h10,556,17h11,400,17h12,650,17h13,369,17h15,104,17h16,420,17h18,419,17h19,475,17h20
129,19h04,116,19h05,129,19h07,129,19h08,534,18h13,574,18h14,442,18h15,579,18h16,498,18h19,650,18h19,428,18h23,249,18h24,510,18h26,438,18h28,650,18h29
114,20h05,138,20h06,115,20h06,137,20h07,520,19h11,583,19h14,549,19h16,546,19h17,443,19h22,550,19h23,385,19h26,493,19h27,517,19h29,521,19h29,650,19h31
,,,,,,,,600,20h08,650,20h09,569,20h11,650,20h11,586,20h13,650,20h13,504,20h15,503,20h16,650,20h18,650,20h19,650,20h22
