R1c,t,R2c,t,R3c,t,R4c,t,R1 - 3UI,t,R2 - 3UI,t,R3 - 3UI,t,R4 - 3UI,t,R1 - 4UI,t,R2- 4UI,t,R3- 4UI,t,R4- 4UI,t,R2- 2UI,t,R3- 2UI,t,R4- 2UI,t
101,8h18,107,8h19,92,8h20,100,8h20,493,8h21,475,8h22,463,8h24,472,8h25,489,8h26,500,8h28,567,8h29,452,8h32,576,8h33,553,8h34,524,8:35:00 AM
109,08h48,113,08h49,125,08h50,106,08h50,326,08h53,349,08h54,303,08h55,262,08h57,247,08h58,295,08h59,373,09h,122,09h03,357,09h04,170,09h05,245,9:07:00 AM
111,09h18,101,09h19,107,09h20,101,09h20,133,09h23,139,09h24,121,09h25,138,09h27,113,09h28,138,09h29,283,09h30,75,09h33,216,09h34,108,09h35,165,9:37:00 AM
99,09h48,109,09h49,130,09h50,111,09h50,80,09h53,81,09h54,89,09h55,114,09h57,90,09h58,120,09h59,215,10h,61,10h03,197,10h04,101,10h05,145,10:07:00 AM
97,10h18,102,10h19,117,10h20,104,10h20,80,10h23,90,10h24,82,10h25,139,10h27,92,10h28,123,10h29,184,10h30,70,10h33,308,10h34,143,10h35,212,10:37:00 AM
106,10h48,106,10h49,101,10h50,108,10h50,78,10h53,135,10h54,134,10h55,165,10h57,150,10h58,169,10h59,162,11h,83,11h03,434,11h04,188,11h05,271,11:07:00 AM
113,11h18,112,11h19,87,11h20,117,11h20,128,11h23,196,11h24,197,11h25,292,11h27,138,11h28,230,11h29,244,11h30,136,11h33,448,11h34,239,11h35,361,11:37:00 AM
97,11h48,103,11h49,96,11h50,94,11h50,177,11h53,244,11h54,265,11h55,383,11h57,179,11h58,256,11h59,267,12h,192,12h03,536,12h04,280,12h05,464,12:07:00 PM
99,12h49,106,12h50,90,12h52,95,12h53,196,12h29,252,12h31,301,12h32,444,12h33,239,12h35,356,12h36,359,12h37,246,12h39,650,12h41,382,12h42,552,12:43:00 PM
87,12h51,97,12h54,94,13h55,110,13h57,238,12h55,344,12h56,343,12h58,519,12h59,309,13h00,408,13h01,423,13h03,241,13h04,568,13h05,392,13h06,508,1:08:00 PM
97,14h48,99,14h49,99,14h50,110,14h55,270,13h58,316,14h02,313,14h04,436,14h02,302,14h07,392,14h08,514,14h10,225,14h11,549,14h13,468,14h17,509,2:16:00 PM
100,15h48,96,15h49,96,15h51,99,15h54,283,14h57,405,14h59,320,15h00,454,15h02,319,15h04,380,15h07,525,15h07,239,15h08,498,15h11,427,15h11,528,3:12:00 PM
97,16h46,94,16h46,106,16h47,103,16h49,283,15h56,404,15h54,342,15h58,415,16h00,331,15h58,407,16h02,488,16h04,202,16h07,540,16h09,425,16h05,557,4:11:00 PM
,,,,,,,,255,16h51,388,16h53,347,16h54,416,16h56,354,16h58,436,16h59,547,17h00,242,17h01,502,17h04,454,17h05,541,5:06:00 PM
