HORA REAL,UMIDADE,TEMPERATURA,PESO (g),HORA REAL,UMIDADE,TEMPERATURA,PESO (g),HORA REAL,UMIDADE,TEMPERATURA,PESO (g)
11h03,48,26.7,0.00000,12h03,45,26.5,0.00017,13h03,49,26.3,0.00199
12h03,48,26.7,0.00017,13h03,45,26.5,0.00006,14h03,49,26.2,0.00223
13h03,48,26.7,0.00036,14h03,44,26.5,0.00012,15h03,48,26.2,0.00246
14h03,48,26.7,0.00053,15h03,44,26.5,0.00039,16h03,49,26.2,0.00265
15h03,48,26.7,0.00067,16h03,43,26.5,0.00064,17h03,49,26.2,0.00283
16h03,46,26.8,0.00068,17h03,43,26.5,0.00089,18h03,49,26.2,0.00303
17h03,44,26.7,0.00045,18h03,43,26.5,0.00118,19h03,49,26.2,0.00324
18h03,44,26.7,0.00012,19h03,42,26.5,0.00145,20h03,50,26.2,0.00347
19h03,43,26.7,0.00030,20h03,43,26.5,0.00166,21h03,50,26.2,0.00371
20h03,43,26.7,0.00069,21h03,44,26.5,0.00172,22h03,51,26.2,0.00397
21h03,42,26.7,0.00104,22h03,44,26.5,0.00168,23h03,52,26.2,0.00427
22h03,42,26.7,0.00140,23h03,45,26.7,0.00158,00h03,52,26.2,0.00461
23h03,42,26.7,0.00172,00h03,45,26.7,0.00114,01h03,53,26.2,0.00492
00h03,40,26.5,0.00199,01h03,46,26.5,0.00117,02h03,53,26.2,0.00521
01h03,43,26.7,0.00221,02h03,46,26.5,0.00093,03h03,52,26.1,0.00547
02h03,44,26.8,0.00212,03h03,47,26.5,0.00068,04h03,53,26.1,0.00576
03h03,46,26.8,0.00190,04h03,47,26.5,0.00042,05h03,53,26.1,0.00596
04h03,46,26.8,0.00164,05h03,47,26.5,0.00019,06h03,53,26.0,0.00620
05h03,47,26.8,0.00132,06h03,47,26.5,0.00004,07h03,53,26.0,0.00642
06h03,47,26.7,0.00101,07h03,48,26.5,0.00027,08h03,54,26.0,0.00668
07h03,47,26.7,0.00075,08h03,48,26.5,0.00055,09h03,54,25.9,0.00693
08h03,47,26.5,0.00050,09h03,48,26.3,0.00083,10h03,54,25.9,0.00716
09h03,47,26.5,0.00031,10h03,48,26.3,0.00111,11h03,54,25.9,0.00743
10h03,47,26.5,0.00070,11h03,48,26.5,0.00139,12h03,54,25.9,0.00768
