HORA REAL,UMIDADE,TEMPERATURA,PESO (g),HORA REAL,UMIDADE,TEMPERATURA,PESO (g)
17h48,48,23.0,0.00259,18h48,48,23.2,0.00437
18h48,49,23.2,0.00269,19h48,48,23.2,0.00446
19h48,48,23.4,0.00276,20h48,47,23.2,0.00454
20h48,49,23.4,0.00285,21h48,48,23.4,0.00458
21h48,48,23.4,0.00288,22h48,47,23.4,0.00464
22h48,48,23.4,0.00291,23h48,47,23.2,0.00471
23h48,48,23.4,0.00303,0h48,47,23.2,0.00482
0h48,48,23.4,0.00312,1h48,47,23.0,0.00490
1h48,47,23.2,0.00321,2h48,46,23.0,0.00505
2h48,47,23.2,0.00336,3h48,46,22.9,0.00520
3h48,47,23.0,0.00354,4h48,46,22.9,0.00531
4h48,47,23.0,0.00371,5h48,46,22.9,0.00545
5h48,47,22.9,0.00386,6h48,47,22.7,0.00560
6h48,47,22.9,0.00398,7h48,47,22.7,0.00571
7h48,47,22.9,0.00409,8h48,47,22.7,0.00577
8h48,48,22.7,0.00420,9h48,47,22.5,0.00585
9h48,48,22.7,0.00423,10h48,47,22.5,0.00578
10h48,48,22.7,0.00425,11h48,48,22.5,0.00576
11h48,48,22.7,0.00427,12h48,48,22.5,0.00572
12h48,49,22.7,0.00421,13h48,48,22.5,0.00572
13h48,49,22.7,0.00418,14h48,48,22.7,0.00570
14h48,48,22.9,0.00420,15h48,47,22.9,0.00569
15h48,48,22.9,0.00419,16h48,47,22.9,0.00577
16h48,48,22.9,0.00426,17h25,47,23.0,0.00584
