X1,X2,X3,X4
0:00,"0,0001","0,0029","0,0031"
0:30,"0,0001","0,0003","0,0001"
1:00,"0,0008",0,"-0,0001"
1:30,"0,035","0,003","0,0028"
2:00,"0,0036","0,0029","0,0032"
2:30,"0,0029","0,0029","0,0032"
3:00,"0,0028","0,0031","0,003"
3:30,"0,0009","0,0032","0,0031"
4:00,"0,0013","0,0032","0,003"
4:30,"0,0031","0,0032","0,0031"
5:00,"0,0032","0,0035","0,003"
5:30,"0,0034","0,0035","0,0032"
6:00,"0,0031","0,0038","0,0033"
6:30,"0,0032","0,0035","0,0035"
7:00,"0,0032","0,0036","0,0032"
7:30,"0,0032","0,0034","0,0036"
8:00,"0,0032","0,0034","0,0036"
8:30,"0,003","0,0031","0,0035"
9:00,"0,0032","0,0033","0,0033"
9:30,"0,003","0,0031","0,0034"
10:00,"0,0031","0,0032","0,0033"
10:30,"0,003","0,003","0,0032"
11:00,"0,0032","0,0029","0,0032"
11:30,"0,0031","0,0029","0,0032"
12:00,"0,0033","0,003","0,0031"
12:30,"0,0033","0,0028","0,003"
13:00,"0,0033","0,0031","0,003"
13:30,"0,0033","0,0029","0,0026"
14:00,"0,0032","0,003","0,0027"
14:30,"0,0033","0,003","0,0029"
15:00,"0,0032","0,003","0,0029"
15:30,"0,0033","0,0032","0,0031"
16:00,"0,0032","0,003","0,003"
16:30,"0,003","0,003","0,0028"
17:00,"0,0032","0,0031","0,0028"
17:30,"0,0033","0,0033","0,0024"
18:00,"0,003","0,0031","0,0027"
18:30,"0,0032","0,0031","0,0029"
19:00,"0,0031","0,0031","0,0027"
19:30,"0,0033","0,0032","0,0027"
20:00,"0,0032","0,0029","0,0028"
20:30,"0,0032","0,003","0,0029"
21:00,"0,0031","0,0028","0,0027"
21:30,"0,0032","0,0029","0,0028"
22:00,"0,0031","0,0031","0,0029"
22:30,"0,003","0,003","0,003"
23:00,"0,003","0,003","0,0028"
23:30,"0,0031","0,003","0,003"
