;Controle, n=8;;0UI, n=4;;2UI, n=7;;3UI, n=8;;4UI, n=8;
Tempo;Média;DP;Média;DP;Média;DP;Média;DP;Média;DP
0;101,875;3,15625;467;37;554,2857143;24,32653061;397,75;105,875;454,75;54,5
0.5;114,875;5,625;503,75;73,125;327,2857143;92,89795918;215,25;96,1875;243,375;93,375
1;110,125;9,15625;443,75;34,75;227,1428571;104,2040816;106,375;26,375;110;51
1.5;113,125;8,65625;487;56;231,7142857;120,4489796;80,375;10,71875;99,625;33,9375
2;110,5;9;460,75;37,75;292,8571429;118,122449;96,75;23,9375;93,75;29,875
2.5;108,5;6,25;455,25;31,75;360;112,8571429;118,75;19,5625;113,875;34,84375
3;107,5;7,625;485,5;48,5;400,7142857;104,244898;180,125;36,15625;152,25;43,0625
3.5;102,125;7,40625;450,75;48,25;448;84,57142857;227,375;52,46875;196,375;37,46875
4;110,125;3,46875;447,25;53,25;490,8571429;94,40816327;260;60,5;250,625;55,28125
5;106,375;8,875;422,75;54,25;475,4285714;46,65306122;300,875;75,875;273,875;84,375
6;101,875;8,375;412,25;28,75;481,8571429;38,69387755;275,625;59,625;293,25;82,0625
7;103,5;4,75;454,75;91,75;467,5714286;45,63265306;296,875;72,125;307,75;75,1875
8;101;4;403,5;31,75;497,4285714;41,34693878;304,625;64,46875;312,875;80,65625
9;102,75;4,5625;410,25;18,75;491,7142857;35,18367347;299;65;348;94
10;101,125;1,4375;427,25;57,75;464,7142857;35,26530612;226;20,75;293,75;41,1875
