Hora (h),Teste 1 (g)
0:00,0
0:30,-0.0004
1:00,-0.0002
1:30,-0.0003
2:00,0.0001
2:30,-0.0001
3:00,0.0003
3:30,0
4:00,0.0004
4:30,0.0001
5:00,0
5:30,0
6:00,0.0002
6:30,0.0029
7:00,0.0176
7:30,0.0002
8:00,0.0002
8:30,0.0004
9:00,0
9:30,0.0009
10:00,0
10:30,0.0002
11:00,0
11:30,0.0003
12:00,0.0002
12:30,0.0292
13:00,0
13:30,0.0002
14:00,0.0001
14:30,0.0001
15:00,0.0004
15:30,0.0002
16:00,0.0001
16:30,0.0193
17:00,0.0031
17:30,0.0001
18:00,0.0005
18:30,0.0003
19:00,0.0005
19:30,0.0011
20:00,0.0006
20:30,0.0211
21:00,0.0002
21:30,0.0004
22:00,0.0007
22:30,0.0002
23:00,0.0005
23:30,-0.0005
