X1,X2,X3,X4
0:00,0,"0,0001","0,0001"
0:30,"-0,0001","-0,0001","0,0105"
1:00,"0,001","-0,0002","-0,0002"
1:30,"0,0013","-0,0002","0,0005"
2:00,"0,001","0,0007","0,0003"
2:30,"0,001","0,0002","0,0004"
3:00,"0,0008",0,"0,0103"
3:30,"0,0009","0,0242","0,0007"
4:00,"0,0074",0,"0,0003"
4:30,"0,0004","0,0001","0,0098"
5:00,"0,0005","-0,0001","0,0004"
5:30,"0,0004","0,0002","0,0004"
6:00,0,"0,0001","0,0004"
6:30,"0,0109","0,0007","0,0012"
7:00,"0,0004","-0,0001",0
7:30,"0,0003",0,"0,0125"
8:00,"0,0078","0,0254","0,0001"
8:30,0,"-0,0002","0,0005"
9:00,"0,0003","0,0002","0,0003"
9:30,"-0,0001","-0,0002","0,013"
10:00,0,0,"0,0004"
10:30,"0,0115",0,"0,0003"
11:00,0,"0,0006","0,0003"
11:30,"0,0001",0,"0,0003"
12:00,"-0,0001",0,"0,012"
12:30,0,"0,0276","0,0001"
13:00,"0,0116",0,"0,0004"
13:30,"0,0003",0,"0,0004"
14:00,"0,0001",0,0
14:30,"0,0102","0,0003","0,0011"
15:00,"0,0005",0,0
15:30,"0,001","0,0001","0,0197"
16:00,"0,0003","0,0215","0,0002"
16:30,"0,0007",0,"0,0001"
17:00,"0,0003",0,"0,0004"
17:30,"0,0145",0,"0,0004"
18:00,"0,0005",0,"0,0001"
18:30,"0,0009",0,"0,0002"
19:00,"0,0001",0,"0,0195"
19:30,"0,0006",0,0
20:00,"0,0127","0,0218",0
20:30,"0,0006","0,0001","0,0001"
21:00,"0,0006","0,0003","0,0004"
21:30,"0,0002","-0,0003","0,0002"
22:00,"0,0123","0,001","-0,0002"
22:30,"0,0006","0,0002","0,0166"
23:00,"0,0005","0,0001","-0,0001"
23:30,"0,0005","0,0004","0,0001"
