Tempo,"Média Controle, n=8","DP Controle, n=8","Média 0UI, n=4","DP 0UI, n=4","Média 2UI, n=7","DP 2UI, n=7","Média 4UI, n=8","DP 4UI, n=8","Média 6UI, n=8","DP 6UI, n=8"
0,113.25,6.5625,465.25,51.25,545.7142857,19.95918367,445.125,62.34375,478.625,43.5625
0.5,125.375,10.875,465,32,552.5714286,50.20408163,435.875,88.625,465,103
1,120.5,13,472.25,23.75,437.4285714,82.65306122,312.875,94.90625,309.5,118.625
1.5,117.5,14.75,463.75,36.125,408.8571429,151.5918367,245.625,97.96875,279.75,144.1875
2,127.125,9.15625,478,39.5,386.5714286,192.7755102,232.875,108.375,245.625,172.28125
2.5,118.375,5.28125,489.5,27.75,377.1428571,175.5918367,172.375,73.625,224,149.25
3,113.125,10.125,511,23.5,398.5714286,144.3673469,165.875,77.3125,158.375,72.0625
3.5,117.625,11.71875,494.25,30.75,416.2857143,157.6734694,162.75,80.875,148.125,65.9375
4,125.125,7.34375,473.5,41,434.1428571,157.2653061,172.25,81.3125,154.625,57.875
5,128,7.5,479.75,59.875,417.5714286,161.6326531,235.75,125.5,180.25,73.5
6,123.5,13,467.75,28.875,456.4285714,149.5102041,294.25,160.5625,259.75,107.25
7,124.75,5.8125,431.75,24.75,515.1428571,129.8367347,334.375,153.375,306.875,106.125
8,122.875,10.90625,434.75,34.125,531.2857143,79.95918367,376.5,158.5,355,128.5
9,143,2.75,430,44,576.7142857,83.75510204,391.625,140.625,438.875,93.125
10,125.875,2.46875,460,95,593.8571429,49.59183673,412.375,137.125,460.25,51.0625
11,126,5.75,501.75,37.75,637,18.57142857,456.375,160.875,552.25,38.3125
