X1,X2,X3,X4
0:00,0,"0,0028","0,0031"
0:30,"-0,0001","0,0001","-0,0001"
1:00,"-0,0001","0,0001",0
1:30,"0,0027","0,003","0,0031"
2:00,"0,0029","0,0029","0,003"
2:30,"0,003","0,003","0,003"
3:00,"0,0031","0,003","0,003"
3:30,"0,0047","0,0029","0,003"
4:00,"0,0032","0,003","0,0031"
4:30,"0,0033","0,0028","0,0032"
5:00,"0,0032","0,0028","0,003"
5:30,"0,0031","0,0031","0,0031"
6:00,"0,0033","0,003","0,0031"
6:30,"0,0031","0,003","0,0032"
7:00,"0,0033","0,0028","0,0032"
7:30,"0,0032","0,0028","0,0031"
8:00,"0,0032","0,0029","0,003"
8:30,"-0,0007","0,0028","0,003"
9:00,"0,0029","0,0029","0,0032"
9:30,"0,0028","0,0029","0,0033"
10:00,"0,0031","0,0029","0,0101"
10:30,"0,0028","0,0029","0,0032"
11:00,"0,0027","0,003","0,0032"
11:30,"0,0028","0,0028","0,0031"
12:00,"0,0028","0,0032","-0,0039"
12:30,"0,0027","0,0174","-0,009"
13:00,"0,0028","0,0031","0,0029"
13:30,"0,0028","0,0029","0,0028"
14:00,"0,0028","0,003","0,0028"
14:30,"0,0029","0,003","0,0028"
15:00,"0,0029","0,003","0,0027"
15:30,"0,0032","0,0032","0,0026"
16:00,"0,003","0,003","0,0022"
16:30,"0,0029","0,003","0,0022"
17:00,"0,0029","0,0031","0,0023"
17:30,"0,0029","0,0033","0,0023"
18:00,"0,0027","0,0031","0,0023"
18:30,"0,003","0,0031","0,0024"
19:00,"0,0029","0,0031","0,0025"
19:30,"0,0029","0,0032","0,0024"
20:00,"0,0029","0,0029","0,0025"
20:30,"0,003","0,003","0,0028"
21:00,"0,0029","0,0028","0,0027"
21:30,"0,0031","0,0029","0,0027"
22:00,"0,0031","0,0031","0,0027"
22:30,"0,0029","0,003","0,0057"
23:00,"0,0029","0,003","0,0031"
23:30,"0,0031","0,003","0,0031"
