X1,X2,X3,X4
0:00,0,"0,0028","0,0031"
0:30,"-0,0001","0,0001","0,0005"
1:00,"-0,0001","0,0001","0,0005"
1:30,"0,0027","0,003","0,0032"
2:00,"0,0029","0,0029","0,0033"
2:30,"0,003","0,003","0,0033"
3:00,"0,0031","0,003","0,0034"
3:30,"0,0031","0,0029","0,0032"
4:00,"0,0077","0,003","0,0033"
4:30,"0,0029","0,0028","0,0033"
5:00,"0,0025","0,0028","0,0033"
5:30,"0,0008","0,0031","0,0034"
6:00,"0,0011","0,003","0,0033"
6:30,"0,0032","0,003","0,0034"
7:00,"0,0029","0,0028","0,0032"
7:30,"0,0027","0,0028","0,0031"
8:00,"0,003","0,0029","0,0031"
8:30,"0,003","0,0028","0,0031"
9:00,"0,0029","0,0029","0,003"
9:30,"0,0028","0,0029","0,0032"
10:00,"0,0031","0,0029","0,003"
10:30,"0,0028","0,0029","0,0029"
11:00,"0,0027","0,003","0,003"
11:30,"0,0028","0,0028","0,003"
12:00,"0,0028","0,0032","0,0028"
12:30,"0,0027","0,0029","0,0029"
13:00,"0,0028","0,003","0,0029"
13:30,"0,0028","0,003","0,0028"
14:00,"0,0028","0,0029","0,0028"
14:30,"0,0029","0,003","0,0028"
15:00,"0,0029","0,0028","0,0027"
15:30,"0,0032","0,0029","0,0026"
16:00,"0,003","0,0028","0,0022"
16:30,"0,0029","0,003","0,0022"
17:00,"0,0029","0,0029","0,0023"
17:30,"0,0029","0,0028","0,0023"
18:00,"0,0027","0,0028","0,0023"
18:30,"0,003","0,0028","0,0024"
19:00,"0,0029","0,0028","0,0025"
19:30,"0,0029","0,003","0,0024"
20:00,"0,0029","0,0029","0,0025"
20:30,"0,003","0,0032","0,0028"
21:00,"0,0029","0,003","0,0027"
21:30,"0,0031","0,0031","0,0027"
22:00,"0,0031","0,0032","0,0027"
22:30,"0,0029","0,0032","0,0057"
23:00,"0,0029","0,0032","0,0031"
23:30,"0,0031","0,0034","0,0031"
