x1,x2,x3,x4,x5
0,0.001,0.001,0.001,0.001
0,0.001,0.002,0,0.001
-0.001,0.001,0.001,0,0.001
0.001,0.001,0.001,0,0.001
0.001,0.001,0.001,0.002,0.001
0,0,0,0.002,0.001
0.001,0.001,0.001,0,0
0.001,0.001,0,0.002,0.001
0.001,0,0.002,0.002,0
0.001,0.001,0.001,0,0.001
0.001,0.001,0,0.005,0
0.001,0.001,0,0,0
0.002,0,0.001,0.001,0
0.001,0,0.001,0.001,0.001
0.001,0.003,0.002,0,0.001
0,0.001,0.003,0,0
0.005,0,0,0,0.001
0.001,0,0.001,0.001,0.002
0,0.001,0.001,0,0.001
0.002,0.001,0.001,0.002,0.001
0.002,0.002,0.002,0.001,0
0,0.002,0.002,0,0.001
-0.001,0.001,0.002,0,0
0,0.002,0,0.001,0.001
