x1,x2,x3
0.0065,0.0098,0.009
0.0105,0.0093,0.0095
0.009,0.0097,0.0095
0.0095,0.0096,0.0089
0,0.0097,0.0081
0.0022,0.0087,0.0072
0.0017,0.0092,0.0072
0,0.0098,0.0073
0.009,0.0099,0.0079
0.0096,0.0083,0.0075
0.009,0.0093,0.0058
0.01,0.01,0.0067
0.0097,0.0088,0.0064
0.0098,0.0095,0.0063
0.01,0.0085,0.0065
0.01,0.0101,0.0052
0.0095,0.0088,0.0046
0.01,0.0091,0.0057
0.0104,0.0099,0.0057
0.0102,0.0096,0.0054
0.01,0.0094,0.0047
0.0108,0.0093,0.004
0.0097,0.009,0.0027
0.0097,0.0095,0.0018
