x1,x2,x3,x4
0.0019,0.004,0.0053,0.0053
0.0031,0.0049,0.0049,0.0047
0.0048,0.004,0.0054,0.0044
0.0049,0.0041,0.0048,0.0038
0.0043,0.0039,0.0063,0.0053
0.0044,0.0044,0.0065,0.0055
0.0075,0.0043,0.0052,0.0063
0.0056,0.0045,0.0054,0.0048
0.0054,0.0049,0.0047,0.0029
0.005,0.005,0.0052,0.0042
0.0046,0.0047,0.0061,0.0036
0.0044,0.0045,0.0061,0.0049
0.0049,0.0046,0.0045,0.004
0.0044,0.0051,0.0054,0.0037
0.0037,0.0057,0.0059,0.0051
0.005,0.0042,0.0044,0.004
0.0037,0.0048,0.0054,0.005
0.0052,0.0031,0.0059,0.0047
0.0016,0.0039,0.0052,0.005
-0.002,0.0041,0.0048,0.0049
0.0024,0.0057,0.005,0.0038
0.0035,0.0052,0.0052,0.0072
0.0038,0.0048,0.0044,0.0039
0,0.0058,0.0047,0.0049
