x1,x2,x3,x4,x5
-0.0004,0.0005,0.0005,0.0014,0.0013
-0.0005,0.0014,0.0017,0.0004,0.0013
-0.0009,0.0013,0.0013,0.0004,0.0012
-0.0014,0.0012,0.0014,0.0004,0.001
-0.0009,0.0012,0.001,0.0017,0.0009
0.0005,0,0.0003,0.0023,0.0014
0.0008,0.0011,0.0005,0.0002,0.0002
0.002,0.0009,0.0003,0.0015,0.001
0.003,-0.0001,0.0023,0.0016,0.0002
0.003,0.0006,0.0005,0,0.0008
0.0039,0.0006,0,0.0048,0.0002
0.0047,0.0005,0.0002,0,0
0.0054,0,0.0012,0.0014,0
0.0069,0,0.0008,0.0013,0.0008
0.0075,0.0025,0.0021,0.0002,0.0011
0.0087,0.0005,0.0032,0.0003,0.0004
0.0089,0.0004,0,0.0004,0.0013
0.0138,0.0004,0.001,0.0013,0.0015
0.0151,0.0013,0.0012,0.0004,0.0005
0.0154,0.0005,0.0013,0.0016,0.0005
0.0169,0.0015,0.0015,0.0005,0.0004
0.0185,0.0015,0.0015,0.0004,0.0012
0.0189,0.0007,0.0015,0.0004,0.0004
0.0181,0.0018,0.0004,0.0013,0.0012
