x1,x2,x3,x4
0.0098,0.0088,0.0085,0.0096
0.0098,0.0108,0.0082,0.0115
0.0102,0.0107,0.0098,0.012
0.0102,0.0109,0.0099,0.0113
0.0103,0.0115,0.0109,0.0121
0.0104,0.0104,0.0103,0.0116
0.0101,0.0119,0.011,0.0118
0.0103,0.01,0.0115,0.0098
0.0104,0.0114,0.0098,0.00115
0.0104,0.011,0.0107,0.011
0.0105,0.0112,0.0117,0.0105
0.0105,0.0105,0.0109,0.0112
0.0105,0.0108,0.011,0.0101
0.0105,0.0099,0.0097,0.0107
0.0105,0.0095,0.0098,0.0108
0.0104,0.0088,0.0107,0.0098
0.0104,0.009,0.0098,0.0082
0.0106,0.0085,0.0104,0.0075
0.0105,0.0095,0.0098,0.0055
0.0106,0.0099,0.0095,0.0065
0.0105,0.0099,0.0092,
0.0105,0.0106,0.0085,
0.0105,0.0104,0.0081,
0.0106,0.0105,0.0095,
