TEMPO,Variação 1,Variação 2,Variação 3,5%,-5%,20%,-20%,,,0.0025,0.003
0.00,0.0000,0.0000,0.0000,0.002625,0.002375,0.003,0.002,,,,
0.25,0.0001,0.0000,-0.0001,0.002625,0.002375,0.003,0.002,,,,
0.50,0.0003,0.0000,-0.0001,0.002625,0.002375,0.003,0.002,,,,
0.75,0.0002,0.0000,0.0000,0.002625,0.002375,0.003,0.002,,,,
1.00,0.0002,0.0000,-0.0001,0.002625,0.002375,0.003,0.002,,,,
1.25,0.0000,0.0017,0.0015,0.002625,0.002375,0.003,0.002,,,,
1.50,0.0001,0.0017,0.0016,0.002625,0.002375,0.003,0.002,,,,
1.75,0.0001,0.0015,0.0016,0.002625,0.002375,0.003,0.002,,,,
2.00,0.0000,0.0016,0.0015,0.002625,0.002375,0.003,0.002,,,,
2.25,0.0001,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
2.50,0.0001,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
2.75,-0.0001,0.0077,0.0016,0.002625,0.002375,0.003,0.002,,,,
3.00,0.0000,0.0015,0.0016,0.002625,0.002375,0.003,0.002,,,,
3.25,0.0000,-0.0047,0.0016,0.002625,0.002375,0.003,0.002,,,,
3.50,-0.0003,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
3.75,-0.0004,0.0016,0.0017,0.002625,0.002375,0.003,0.002,,,,
4.00,0.0014,0.0015,0.0017,0.002625,0.002375,0.003,0.002,,,,
4.25,0.0014,0.0015,0.0016,0.002625,0.002375,0.003,0.002,,,,
4.50,0.0014,0.0006,0.0016,0.002625,0.002375,0.003,0.002,,,,
4.75,0.0013,0.0015,0.0016,0.002625,0.002375,0.003,0.002,,,,
5.00,0.0014,0.0016,0.0015,0.002625,0.002375,0.003,0.002,,,,
5.25,0.0016,0.0015,0.0017,0.002625,0.002375,0.003,0.002,,,,
5.50,0.0015,0.0015,0.0016,0.002625,0.002375,0.003,0.002,,,,
5.75,0.0014,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
6.00,0.0014,0.0014,0.0017,0.002625,0.002375,0.003,0.002,,,,
6.25,0.0015,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
6.50,0.0016,0.0015,0.0016,0.002625,0.002375,0.003,0.002,,,,
6.75,0.0015,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
7.00,0.0015,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
7.25,0.0016,0.0015,0.0015,0.002625,0.002375,0.003,0.002,,,,
7.50,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
7.75,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
8.00,0.0014,0.0017,0.0015,0.002625,0.002375,0.003,0.002,,,,
8.25,0.0017,0.0015,0.0016,0.002625,0.002375,0.003,0.002,,,,
8.50,0.0016,0.0018,0.0015,0.002625,0.002375,0.003,0.002,,,,
8.75,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
9.00,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
9.25,0.0015,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
9.50,0.0016,0.0015,0.0015,0.002625,0.002375,0.003,0.002,,,,
9.75,0.0016,0.0015,0.0016,0.002625,0.002375,0.003,0.002,,,,
10.00,0.0014,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
10.25,0.0017,0.0016,0.0015,0.002625,0.002375,0.003,0.002,,,,
10.50,0.0016,0.0016,0.0015,0.002625,0.002375,0.003,0.002,,,,
10.75,0.0015,0.0015,0.0016,0.002625,0.002375,0.003,0.002,,,,
11.00,0.0016,0.0015,0.0016,0.002625,0.002375,0.003,0.002,,,,
11.25,0.0012,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
11.50,0.0018,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
11.75,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
12.00,0.0016,0.0015,0.0016,0.002625,0.002375,0.003,0.002,,,,
12.25,0.0016,0.0016,0.0017,0.002625,0.002375,0.003,0.002,,,,
12.50,0.0015,0.0016,0.0015,0.002625,0.002375,0.003,0.002,,,,
12.75,0.0013,0.0016,0.0015,0.002625,0.002375,0.003,0.002,,,,
13.00,0.0010,0.0015,0.0015,0.002625,0.002375,0.003,0.002,,,,
13.25,0.0014,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
13.50,0.0015,0.0015,0.0016,0.002625,0.002375,0.003,0.002,,,,
13.75,0.0014,0.0015,0.0015,0.002625,0.002375,0.003,0.002,,,,
14.00,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
14.25,0.0014,0.0016,0.0015,0.002625,0.002375,0.003,0.002,,,,
14.50,0.0016,0.0016,0.0017,0.002625,0.002375,0.003,0.002,,,,
14.75,0.0015,0.0016,0.0015,0.002625,0.002375,0.003,0.002,,,,
15.00,0.0016,0.0016,0.0016,0.002625,0.002375,0.003,0.002,,,,
15.25,0.0015,0.0016,0.0015,0.002625,0.002375,0.003,0.002,,,,
